county_names,n,Percent
Acadia,816,0.10545646754435052
Ada,1714,0.22151027618997157
Adams,1346,0.17395147710134287
Addison,127,0.016412955120260437
Alachua,1106,0.14293486900006333
Alameda,1152,0.1488797188861419
Alamosa,202,0.0261056451519103
Albany,3123,0.4036036129179003
"Albemarle,Charlottesville City",646,0.0834863701392775
Allegan,1462,0.18894283768362802
Alleghany,945,0.12212789439878828
Allegheny,3655,0.47235709420907
Allen,1731,0.22370728593047884
Anchorage,961,0.12419566827220692
Anderson,224,0.028948834227860928
Andrews,218,0.02817341902532894
Androscoggin,489,0.06319633900635711
Anne Arundel,2267,0.2929777106900032
"Anoka,Hennepin,Dakota,Ramsey,Washington",731,0.09447141884181401
Arapahoe,203,0.026234881018998967
"Arapahoe,Adams",202,0.0261056451519103
Arenac,731,0.09447141884181401
Aroostook,858,0.11088437396207444
Ashland,731,0.09447141884181401
Ashtabula,972,0.12561726281018223
Athens,486,0.06280863140509112
Atlantic,1023,0.13220829203170414
Audrain,731,0.09447141884181401
Baraga,730,0.09434218297472534
Barbour,36,0.0046524912151919345
Barry,731,0.09447141884181401
"Barry,Lawrence",731,0.09447141884181401
Bartholomew,147,0.01899767246203373
Bay,731,0.09447141884181401
Beadle,371,0.04794650668989466
Beaufort,134,0.01731760618988109
Beauregard,731,0.09447141884181401
"Bedford City,Botetourt,Roanoke,Bland,Salem,Roanoke City,Bedford",646,0.0834863701392775
"Bedford City,Lynchburg City,Amherst,Bedford,Campbell",647,0.08361560600636617
Belmont,486,0.06280863140509112
Benton,1876,0.24244648665833526
Bergen,716,0.09253288083548403
"Berkeley,Dorchester,Charleston",134,0.01731760618988109
Bernalillo,311,0.04019235466457477
Bienville,717,0.0926621167025727
Blue Earth,731,0.09447141884181401
"Blue Earth,Nicollet",731,0.09447141884181401
Boone,3240,0.4187242093672741
Bossier,246,0.031792023303811555
Boulder,202,0.0261056451519103
Box Elder,126,0.01628371925317177
Boyd,211,0.027268767955708283
Brazos,78,0.010080397632915858
Bristol,251,0.03243820263925488
Bronx,680,0.0878803896202921
Broome,731,0.09447141884181401
Broward,124,0.01602524751899444
Brown,165,0.021323918069629702
Bryan,731,0.09447141884181401
Buchanan,731,0.09447141884181401
Buffalo,615,0.07948005825952889
Bulloch,37,0.004781727082280599
"Buncombe,Henderson",642,0.08296942667092283
Bureau,1462,0.18894283768362802
Burlington,624,0.08064318106332687
Butler,1387,0.17925014765197814
Butte,1039,0.13427606590512278
Cabell,2193,0.283414256525442
"Cabell,Wayne",731,0.09447141884181401
Cache,126,0.01628371925317177
Caddo,893,0.11540762931017771
Calcasieu,731,0.09447141884181401
Calhoun,1554,0.20083253745578517
Calloway,338,0.043681723075968716
Camden,111,0.014345181246841799
Canadian,693,0.08956045589244474
Carbon,505,0.06526411287977575
"Carlton,Saint Louis",731,0.09447141884181401
Carroll,1216,0.15715081437981646
Carson City,731,0.09447141884181401
Carter,211,0.027268767955708283
Carteret,565,0.07301826490509564
Cass,731,0.09447141884181401
"Catoosa,Walker,Dade,Hamilton",583,0.07534451051269161
Cattaraugus,608,0.07857540718990823
Cayuga,731,0.09447141884181401
Centre,731,0.09447141884181401
Champaign,1298,0.16774815548108699
Chautauqua,2397,0.30977837341152964
Chaves,323,0.04174318506963875
Chelan,731,0.09447141884181401
Chemung,1462,0.18894283768362802
Chenango,731,0.09447141884181401
Cherokee,731,0.09447141884181401
Cheshire,366,0.04730032735445134
Chester,228,0.029465777696215584
Chippewa,1462,0.18894283768362802
"Chippewa,Eau Claire",731,0.09447141884181401
Chisago,731,0.09447141884181401
Chittenden,1350,0.17446842056969755
Christian,1462,0.18894283768362802
Clackamas,1263,0.1632249001329837
Clare,731,0.09447141884181401
Clark,5151,0.6656939513737127
Clarke,731,0.09447141884181401
Clatsop,731,0.09447141884181401
Clay,2193,0.283414256525442
Clayton,650,0.08400331360763215
Cleveland,731,0.09447141884181401
Clinton,2161,0.2792787087786047
Cobb,1462,0.18894283768362802
Coconino,364,0.047041855620274006
Colbert,408,0.05272823377217526
"Cole,Callaway",731,0.09447141884181401
Columbia,2924,0.37788567536725604
Concordia,212,0.027398003822796946
Contra Costa,1784,0.2305567868861781
Cook,10635,1.3744234464879508
Cooke,731,0.09447141884181401
Coos,1096,0.14164251032917669
Cortland,731,0.09447141884181401
Coshocton,486,0.06280863140509112
Crawford,486,0.06280863140509112
Cumberland,4649,0.6008175460952029
"Cumberland,Oxford,Belknap,Carroll",415,0.053632884841795916
"Cumberland,Prince Edward",427,0.055183715246859895
Cuyahoga,1458,0.18842589421527337
Dakota,1462,0.18894283768362802
"Dakota,Woodbury,Union",421,0.054408300044327895
Dallas,4186,0.5409813396331511
Dane,1777,0.22965213581655747
Darke,486,0.06280863140509112
Dauphin,846,0.10933354355701047
Davis,189,0.024425578879757655
Dawes,530,0.06849500955699238
De Kalb,731,0.09447141884181401
Defiance,486,0.06280863140509112
Del Norte,469,0.060611621664583816
Delaware,2117,0.2735923306267035
Delta,731,0.09447141884181401
Dent,731,0.09447141884181401
Denver,202,0.0261056451519103
Deschutes,731,0.09447141884181401
Dickinson,1462,0.18894283768362802
Doddridge,731,0.09447141884181401
Dodge,1341,0.17330529776589956
"Dodge,Jefferson",731,0.09447141884181401
"Dodge,Washington",731,0.09447141884181401
Dona Ana,647,0.08361560600636617
Dougherty,651,0.08413254947472082
Douglas,4328,0.5593328327597415
Du Page,7310,0.94471418841814
Dubois,541,0.0699166040949677
Duchesne,62,0.00801262375949722
Dunklin,731,0.09447141884181401
Dunn,731,0.09447141884181401
Durham,731,0.09447141884181401
"Durham,Orange",1130,0.14603652981019127
Dutchess,2924,0.37788567536725604
East Feliciana,731,0.09447141884181401
Eaton,1462,0.18894283768362802
Effingham,731,0.09447141884181401
El Dorado,352,0.04549102521521003
"El Dorado,Nevada,Placer",367,0.04742956322154
El Paso,404,0.0522112903038206
Elkhart,741,0.09576377751270065
Emmet,731,0.09447141884181401
Erie,5673,0.7331550739939957
Escambia,415,0.053632884841795916
Essex,2098,0.27113684915201886
"Essex,Hudson,Passaic,Bergen",719,0.09292058843675002
"Essex,Hudson,Union,Passaic,Bergen",731,0.09447141884181401
"Essex,Union",708,0.09149899389877471
Evangeline,248,0.03205049503798888
Fairbanks North Star,148,0.019126908329122397
"Fairfax,Alexandria City",646,0.0834863701392775
"Fairfax,Alexandria City,Arlington,Falls Church City",646,0.0834863701392775
"Fairfax,Prince Georges,District Of Columbia,Loudoun,Montgomery,Arlington",232,0.029982721164570243
Fairfield,3634,0.4696431410002081
Fayette,1231,0.15908935238614644
Floyd,941,0.12161095093043363
Fond Du Lac,470,0.060740857531672486
Forsyth,2104,0.27191226435455085
"Forsyth,Guilford,Randolph,Davidson",731,0.09447141884181401
Franklin,4734,0.6118025947977394
Frederick,1011,0.13065746162664016
"Frederick,Winchester City",421,0.054408300044327895
Freeborn,731,0.09447141884181401
Fresno,731,0.09447141884181401
Fulton,7065,0.9130514009814171
Gallatin,731,0.09447141884181401
Galveston,1010,0.1305282257595515
Garfield,1340,0.1731760618988109
Garland,310,0.0400631187974861
Garrett,415,0.053632884841795916
Genesee,2193,0.283414256525442
Georgetown,498,0.0643594618101551
Gogebic,731,0.09447141884181401
Goodhue,618,0.07986776586079489
Grafton,723,0.09343753190510469
Grand Traverse,1454,0.18790895074691868
Grant,1040,0.13440530177221144
Gratiot,731,0.09447141884181401
Green,731,0.09447141884181401
Greene,2805,0.3625066071837049
"Greene,Christian",731,0.09447141884181401
Greenwood,743,0.096022249246878
Gregg,559,0.07224284970256364
Guilford,684,0.08839733308864675
Gwinnett,731,0.09447141884181401
Hall,616,0.07960929412661755
Hamilton,3594,0.46447370631666146
Hampden,401,0.051823582702554605
Hampton,1,1.2923586708866487e-4
"Hampton City,Newport News City",646,0.0834863701392775
"Hampton City,Newport News City,York,Gloucester,Mathews,Poquoson City",646,0.0834863701392775
"Hampton City,Newport News City,York,James City",646,0.0834863701392775
Hancock,486,0.06280863140509112
Hardin,701,0.09059434282915406
Harris,360,0.04652491215191935
Harrison,731,0.09447141884181401
"Harrisonburg City,Rockingham",646,0.0834863701392775
Hawaii,422,0.054537535911416565
Hays,232,0.029982721164570243
Henderson,909,0.11747540318359634
Hennepin,731,0.09447141884181401
Henrico,647,0.08361560600636617
"Henrico,Richmond City,Goochland",646,0.0834863701392775
Henry,1217,0.1572800502469051
Herkimer,731,0.09447141884181401
Hidalgo,261,0.03373056131014153
Hill,357,0.04613720455065335
Hillsborough,1068,0.13802390605069406
Hocking,489,0.06319633900635711
Holt,607,0.07844617132281957
Honolulu,2828,0.3654790321267442
Hood River,731,0.09447141884181401
Horry,496,0.06410099007597776
"Horry,Columbus",134,0.01731760618988109
Houghton,731,0.09447141884181401
Houston,412,0.05324517724052992
Howard,514,0.06642723568357373
Howell,731,0.09447141884181401
Hudson,716,0.09253288083548403
Humboldt,535,0.06914118889243569
Hunterdon,533,0.06888271715825837
Huron,1702,0.2199594457849076
Iberia,731,0.09447141884181401
Indiana,114,0.014732888848107792
Iosco,731,0.09447141884181401
Iron,63,0.008141859626585885
Iroquois,731,0.09447141884181401
Isabella,1378,0.17808702484818018
Isanti,731,0.09447141884181401
Island,646,0.0834863701392775
"Island,Snohomish",485,0.06267939553800245
Jackson,5887,0.76081154955097
"Jackson,Cass",731,0.09447141884181401
Jasper,1596,0.20626044387350911
Jefferson,12793,1.6533144476652895
Jessamine,212,0.027398003822796946
Jo Daviess,731,0.09447141884181401
Johnson,5016,0.6482471093167429
"Johnson,Jackson,Cass",731,0.09447141884181401
"Johnson,Jackson,Wyandotte",731,0.09447141884181401
Josephine,731,0.09447141884181401
Juneau,1481,0.19139831915831265
Kalamazoo,8041,1.0391856072599541
Kanabec,731,0.09447141884181401
