state,HCP_COVID_19,IMM_3,OP_18b,OP_18c,OP_22,OP_23,OP_29,SAFE_USE_OF_OPIOIDS,SEP_1
AK,7.3,80,140,196,2,60,87,16,58
AL,5.9,76,145,226,3,67,93,14,61
AR,2.7,81,133,203,2,72,92,16,64
AZ,17.4,85,168,262,3,68,91,11,55
CA,22.4,73,184,270,2,73,91,14,67
CO,11.8,92,133,240,1,70,95,15,73
CT,13.2,85,193,272,2,72,96,18,57
DC,6.6,94,310,361,6,26,94,11,49
DE,38.3,84,217,418,5,73,96,15,48
FL,6.4,60,158,246,1,69,89,16,68
GA,10.3,76,160,308,2,69,90,15,57
HI,11.1,70,115,182,2,67,93,11,71
IA,12.9,78,120,201,3,69,97,14,63
ID,4.5,81,142,227,1,68,97,14,59
IL,27.5,87,173,320,4,71,94,16,61
IN,14.7,82,125,197,2,77,94,15,59
KS,9,85,120,176,2,70,94,15,59
KY,8.7,84,153,214,2,70,89,15,63
LA,25.9,73,133,244,2,66,91,15,64
MA,46.4,93,216,349,5,68,96,18,58
MD,10.4,94,251,431,4,67,95,15,66
ME,8.7,96,174,326,3,56,94,16,72
MI,10.2,81,164,282,3,73,92,16,59
MN,19.8,74,125,200,3,70,95,13,57
MO,8.2,89,155,257,4,77,92,17,58
MS,22.3,71,127,181,4,73,94,11,63
MT,11.8,58,127,172,2,62,94,15,71
NC,11.1,91,192,312,3,71,94,16,61
ND,5,88,110,147,3,60,97,14,54
NE,10,75,114,157,1,67,92,18,64
NH,22.7,91,160,270,3,61,93,19,57
NJ,27.5,93,187,303,2,74,90,17,69
NM,18.4,73,159,279,3,41,79,12,48
NV,11.9,66,144,270,1,67,93,14,65
NY,9.6,72,199,335,3,67,92,13,58
OH,23.1,83,156,252,3,73,95,13,59
OK,14.6,84,119,194,2,70,93,12,57
OR,27.4,66,153,219,4,65,88,13,60
PA,8.4,84,181,282,2,70,93,16,62
PR,62,59,302,502,1,73,99,3,16
RI,11.7,84,224,354,5,63,94,15,58
SC,10.3,83,161,256,3,78,92,16,64
SD,3.2,89,113,146,1,54,98,17,65
TN,9.5,81,157,333,2,68,90,14,59
TX,17.7,77,145,230,2,69,90,14,64
UT,8.6,91,131,202,1,73,95,15,71
VA,7.7,88,166,318,2,72,90,13,65
VT,27.6,69,176,324,2,44,99,15,59
WA,9.6,75,154,243,3,63,93,13,60
WI,9.6,86,137,194,2,78,97,14,69
WV,10.9,90,146,256,2,59,87,13,60
WY,17.8,80,135,194,1,56,95,15,68
